2023-01-18 01:06:59.363113: finish training task0, epoch:1
2023-01-18 01:10:02.261460: finish training task0, epoch:2
2023-01-18 01:13:02.021420: finish training task0, epoch:3
2023-01-18 01:16:13.152470: finish training task0, epoch:4
2023-01-18 01:19:06.393913: finish training task0, epoch:5
2023-01-18 01:22:15.725045: finish training task0, epoch:6
2023-01-18 01:25:20.325012: finish training task0, epoch:7
2023-01-18 01:28:06.056265: finish training task0, epoch:8
2023-01-18 01:31:01.468485: finish training task0, epoch:9
2023-01-18 01:33:41.446936: finish training task0, epoch:10
2023-01-18 01:36:08.959143: finish training task0, epoch:11
2023-01-18 01:38:52.535715: finish training task0, epoch:12
2023-01-18 01:41:31.040742: finish training task0, epoch:13
2023-01-18 01:44:11.646541: finish training task0, epoch:14
2023-01-18 01:53:58.936334: finish training task1, epoch:1
2023-01-18 01:59:52.336930: finish training task1, epoch:2
2023-01-18 02:05:00.717880: finish training task1, epoch:3
2023-01-18 02:10:10.851733: finish training task1, epoch:4
2023-01-18 02:15:13.777435: finish training task1, epoch:5
2023-01-18 02:20:23.507769: finish training task1, epoch:6
2023-01-18 02:26:07.165897: finish training task1, epoch:7
2023-01-18 02:31:47.278263: finish training task1, epoch:8
2023-01-18 02:37:24.595115: finish training task1, epoch:9
2023-01-18 02:43:11.921694: finish training task1, epoch:10
2023-01-18 02:49:00.552543: finish training task1, epoch:11
2023-01-18 02:54:36.617641: finish training task1, epoch:12
2023-01-18 03:04:47.755672: finish training task2, epoch:1
2023-01-18 03:08:40.338560: finish training task2, epoch:2
2023-01-18 03:12:15.198463: finish training task2, epoch:3
2023-01-18 03:15:38.798575: finish training task2, epoch:4
2023-01-18 03:19:12.556138: finish training task2, epoch:5
2023-01-18 03:22:42.941922: finish training task2, epoch:6
2023-01-18 03:26:20.607693: finish training task2, epoch:7
2023-01-18 03:30:13.860919: finish training task2, epoch:8
2023-01-18 03:33:36.670757: finish training task2, epoch:9
2023-01-18 03:36:42.371612: finish training task2, epoch:10
2023-01-18 03:39:35.062301: finish training task2, epoch:11
2023-01-18 03:42:26.992937: finish training task2, epoch:12
2023-01-18 03:45:19.224444: finish training task2, epoch:13
2023-01-18 03:48:11.033796: finish training task2, epoch:14
2023-01-18 03:50:55.551432: finish training task2, epoch:15
2023-01-18 03:53:35.480227: finish training task2, epoch:16
2023-01-18 04:03:07.894836: finish training task3, epoch:1
2023-01-18 04:08:55.950368: finish training task3, epoch:2
2023-01-18 04:14:22.941355: finish training task3, epoch:3
2023-01-18 04:19:47.654588: finish training task3, epoch:4
2023-01-18 04:25:47.347567: finish training task3, epoch:5
2023-01-18 04:31:25.045163: finish training task3, epoch:6
2023-01-18 04:36:50.985514: finish training task3, epoch:7
2023-01-18 04:41:54.550139: finish training task3, epoch:8
2023-01-18 04:47:17.868180: finish training task3, epoch:9
2023-01-18 04:53:09.906574: finish training task3, epoch:10
2023-01-18 04:58:29.250874: finish training task3, epoch:11
2023-01-18 05:04:08.627753: finish training task3, epoch:12
